reviews,seat_type,date,country,recommend
“Horrendous Service”,Economy Class,2025-04-29,South Africa,no
"""cost of Club Europe is hard to justify""",Business Class,2025-04-22,United Kingdom,yes
"“well below that of Aegean""",Economy Class,2025-04-22,United Kingdom,yes
"""you can do better than this""",Business Class,2025-04-18,Australia,yes
"""downgraded to economy"" ",Economy Class,2025-04-18,United Kingdom,no
“staff were really engaged”,Economy Class,2025-04-16,Sweden,yes
"""got it right on this flight"" ",First Class,2025-04-16,United Kingdom,yes
"""exceeded my expectations""",Business Class,2025-04-15,United Kingdom,yes
"""checkin was very rude to us""",Economy Class,2025-04-13,United States,no
"""forced to check-in carry-ons"" ",Economy Class,2025-04-12,United Kingdom,no
“Pleasant cabin crew”,Business Class,2025-04-09,United Kingdom,yes
"""one of the best BA First flights I’ve had""",First Class,2025-04-03,United Kingdom,yes
"""Very good service on this route""",Business Class,2025-03-31,United Kingdom,yes
"""disagreeable flight attendant"" ",Business Class,2025-03-19,United Kingdom,yes
"""flight was delayed nearly 1 hour""",Business Class,2025-03-16,United States,no
"""full of attitude to me""",Premium Economy,2025-03-16,United States,no
"""service was outrageous""",Business Class,2025-03-16,United States,no
"""managed to get everything right"" ",Premium Economy,2025-03-07,United Kingdom,yes
"""The seats were excellent""",Premium Economy,2025-02-28,United Kingdom,yes
"""the crew were awful""",Business Class,2025-02-27,United Kingdom,no
"""not use British Airways on this route""",Economy Class,2025-02-21,United Kingdom,no
"""they still haven't replied""",Premium Economy,2025-02-18,Netherlands,no
“food has really gone downhill”,Business Class,2025-02-14,United Kingdom,no
"""thoroughly enjoyed this flight""",Economy Class,2025-02-14,United Kingdom,yes
“customer support was terrible”,Economy Class,2025-02-07,Switzerland,no
"""a really enjoyable experience""",Business Class,2025-02-01,United Kingdom,yes
"""Very good flight""",Business Class,2025-01-20,United Kingdom,yes
"""relatively comfortable elderly plane""",Economy Class,2025-01-19,United Kingdom,yes
"""70 days chasing BA’s complaints department""",Economy Class,2025-01-15,United Kingdom,no
"""BA refused to reimburse me""",Premium Economy,2025-01-09,United States,no
"""the flight was delayed"" ",Economy Class,2025-01-05,Netherlands,no
"""BA forced us to buy new tickets""",Economy Class,2025-01-04,United States,no
“staff had no sympathy or empathy”,Economy Class,2025-01-03,South Africa,no
"""the seat is outdated"" ",Business Class,2025-01-01,United Kingdom,yes
"""a national disgrace""",Economy Class,2024-12-17,United Kingdom,no
"""sheer neglect in keeping us informed""",Economy Class,2024-12-17,Australia,no
"""a huge disappointment""",Business Class,2024-12-14,United States,no
"""we had to bus to the aircraft""",Business Class,2024-12-13,United Kingdom,yes
"“victims of their new supper service""",First Class,2024-12-12,United Kingdom,yes
“flight was cancelled last minute”,Economy Class,2024-12-06,United Kingdom,no
“Nobody wants to take responsibility”,Economy Class,2024-12-02,United Kingdom,no
"""Terrible customer service"" ",Economy Class,2024-11-29,United Kingdom,no
“Is British Airways really this cheap”,Economy Class,2024-11-23,United Kingdom,no
"""I will never fly BA again""",Economy Class,2024-11-18,United States,no
"""I was pleasantly surprised""",Economy Class,2024-11-17,United Kingdom,no
"""flight attendants were outstanding""",Business Class,2024-11-15,United Kingdom,yes
"""Food and service was the worst""",Economy Class,2024-11-13,Australia,no
“flying with BA was disappointing”,Economy Class,2024-11-08,Iceland,no
"""won't be using her return ticket""",Economy Class,2024-11-08,Singapore,no
"""the same as low cost carriers"" ",Economy Class,2024-11-07,Turkey,no
“not refunding our money”,Economy Class,2024-11-07,Canada,no
“A very poor experience”,Premium Economy,2024-11-05,India,no
"""food and beverages being targeted"" ",Business Class,2024-11-05,United Kingdom,yes
"""never fly with them again""",Economy Class,2024-11-03,United Kingdom,no
"""still have not heard any updates""",Premium Economy,2024-11-03,United States,no
"""cabin crew were nice""",Economy Class,2024-11-03,United Kingdom,yes
"""support staff wash their hands of you"" ",Premium Economy,2024-11-02,United Kingdom,no
"""no fuss, no bother experience""",Economy Class,2024-11-02,Canada,yes
"""Who can trust BA to travel2",Economy Class,2024-10-31,United Kingdom,no
